Rank,Value Rating,Model,MSRP,Signature,Comments,Tone Grade,Technical Grade,Driver Type,Fit/Cup Type
B,0,Stax SR-L300,"430+975
(SRM-353X)",Neutral,"Generally pleasing tuning, though a little honky and fatiguing in the treble.",B,A-,Electrostatic,Open Circumaural
B,0,"ZMF Aeolus
(Pref. suede Universe pads)","$1,200",Bright neutral,"Tonally, a vast improvement over the Aeolus with stock pads, bringing in extra clarity and bite.",B,A-,Dynamic,Open Circumaural
B,0,Hifiman HE6se,"1100
(HE6se)",Neutral,Comes with an odd midrange dip. It's no HE6 replacement for sure.,B-,A,Planar,Open Circumaural
B,0,"Hifiman HE560
(V1)","950
(HE560)",Neutral,"Slight wonkiness around the lower midrange, but otherwise a capable planar headphone.",B-,A,Planar,Open Circumaural
B,0,Final D8000 Pro,"$4,300",Bright,"Highly resolving headphone with solid imaging capabilities, limited by its somewhat wonky tonality.",B-,A,Planar,Open Circumaural
B,0,Final Audio D8000,"$4,000",Bright,High treble-to-midrange contrast makes things sound shrill and borderline-sibilant.,B-,A,Planar,Open Circumaural
B,0,RAAL-requisite SR1a,"4000
(Jotunheim R bundle)",Neutral,"Weak, limp bass is the killing blow for what is an otherwise highly resolving and decently-tuned earspeaker.",B-,A,Ribbon,Earspeaker
B,0,Focal Stellia,"$3,000",Neutral with bass boost,"""Harman-inspired"" tuning works decently well, though a myriad of small quirks ultimately screws its tonal balance.",C+,S-,Dynamic,Closed Circumaural
B,0,Stax SR-L700,"1570+975
(SRM-353X)",Neutral,"Probably the most balanced tuning of the L-series, with the usual e-stat technicalities.",C+,S-,Electrostatic,Open Circumaural
B,0,"ZMF Verite Closed
(Hybrid Universe pads)","$2,500",Neutral with bass boost,"Far more tonally balanced than its open counterpart, whilst retaining its reverberant staging.",C+,S-,Dynamic,Closed Circumaural
B,0,Audio Technica ATH-ADX5000,"$2,000",Bright neutral,"Clean, open sound reminsicent of the HD800, with a bit of midbass bloat and upper midrange shoutiness.",C+,S-,Dynamic,Open Circumaural
B,0,Stax SR-L300 Limited,"900+975
(SRM-353X)",Neutral,Honkier version of the standard L300.,C+,S-,Electrostatic,Open Circumaural
B,0,"Sony MDR-SA5000
(w/ AliExpress replacement pads)","400
(MDR-SA5000)",Bass-rolled neutral,Surprisingly competent for a decades-old set. Midrange is a little uneven but beats out many other modern TOTLs.,B,B+,Dynamic,Open Circumaural
B,0,Hifiman HE5,"600
(HE5)",Neutral,The original Hifiman. Midrange is a little too scooped out but remains competitive even today.,B+,B,Planar,Open Circumaural
B,0,Denon AH-D5000,"480
(AH-D5000)",V-shaped,"The usual ""Foster biodyna dynamics"" are at play here, with a somewhat fatiguing treble spike.",B,B+,Dynamic,Semi-open Circumaural
B,0,Kennerton Odin,"3600
(Bog Oak)",Warm neutral,"Generally ""okay"" tonality with some odd dips here and there. Lacking serious extension for a planar.",B+,B,Planar,Open Circumaural
B,0,Kennerton Thror,"3600
(Bog Oak)",Warm neutral,"Kind of a ""nothing headphone""; not bad, not great, just good enough to be okay.",B+,B,Planar,Open Circumaural
B,0,Focal Radiance,"$1,300",Harman neutral,"Probably the best of the closed-back Focals. Some tuning refinements over the Stellia, though technically limited.",B+,B,Dynamic,Closed Circumaural
B,0,Focal Clear Mg,"$1,500",Warm neutral,Lacks upper mids and resolution compared to its predecessor.,B-,A-,Dynamic,Open Circumaural
B,0,Audeze LCD-XC,"$1,300","""Balanced""","Definitely the least Audeze-sounding Audeze. A little quirky tonally, but nothing too offensive.",B-,A-,Planar,Closed Circumaural
B,0,Focal Elear,"$1,000",Warm neutral,Subdued upper midrange with the odd treble spike makes this a weird headphone to listen to.,B-,A-,Dynamic,Open Circumaural
B,0,Meze Empyrean,"$3,000",Warm,Bland and unexciting tuning with compressed staging and generally underperforming technicalities.,B,B,Planar,Open Circumaural
B-,3,Koss KSC75,$20,Bass-rolled neutral,Non-existent sub-bass and poor resolution. But it's so well-tuned you may not even care.,A,C,Dynamic,Open Clip-on
B-,1,Sivga Phoenix,$300,Warm neutral,A fairly competent warm-neutral monitor slightly held back by limited detail retrieval.,B+,B-,Dynamic,Open Circumaural
B-,1,Audio Technica ATH-M70x,$300,Neutral,The most neutral of the M-series. Good tonality but still suffers from narrow imaging.,B,B-,Dynamic,Closed Circumaural
B-,1,Sennheiser HD25 Plus,$200,U-shaped,"Punchy, energetic sound with decently balanced tonality. A pretty good beat-tracking monitor.",B,B-,Dynamic,Closed Supra-aural
B-,1,BLON B20,$450,Warm neutral,"Basically a darker planar HD6X0, with equally closed-in staging and lacking the final resolving edge.",A,C,Planar,Open Circumaural
B-,1,Massdrop x Koss ESP/95X,$450,Mid-centric,"Good resolving ability and imaging, marred by its odd and honky midrange.",C,A,Electrostatic,Open Circumaural
B-,1,ASTRO A40 TR,$150,Warm V-shape,"Middling technicalities, but for a gaming headphone its tonality is surprisingly balanced.",B+,C+,Dynamic,Closed Circumaural
B-,1,Audio Technica ATH-M40x,$100,Neutral with bass boost,Well-balanced tonality with disappointing detailing and claustrophobic imaging.,A-,C,Dynamic,Closed Circumaural
B-,1,Moondrop Void,$200,Warm neutral,"Slightly midbass/lower-mid emphasised with good tonal balance, if rather ""cheap""-sounding.",A-,C,Dynamic,Open Circumaural
B-,1,E-MU Walnut,$100,"""Balanced""","Tonality is somewhat off with peaks and dips here and there, but overall not a bad sounding headphone.",B-,B-,Dynamic,Closed Circumaural
B-,0,"Hifiman HE500
(w/ FocusPad-A)","900
(HE500)",Warm neutral,Perhaps the warmest of the Hifiman lineup. Not the most resolving.,B+,B-,Planar,Open Circumaural
B-,0,Audeze LCD-24,"$3,500",Warm neutral,"A slight tonal improvement over the LCD-4, but also comes with a slight hit in resolution.",C,S-,Planar,Open Circumaural
B-,0,"Abyss Diana Phi
Abyss Diana V2","3000 (V2)
4000 (Phi)",Warm,Needs a little more upper midrange to balance out the honkiness. Good dynamic performance especially in the bass.,C,A+,Planar,Open Circumaural
B-,0,Audeze LCD-X (2021),"$1,200",Warm neutral,"Tonally, a massive improvement over the previous version(s) though with the usual pitfalls of the Audeze house sound.",C,A+,Planar,Open Circumaural
B-,0,Denon AH-D5200,$700,Warm neutral,Probably the least wonky of the new Denons. Suffers from some mid-bass bloat.,B-,B,Dynamic,Closed Circumaural
B-,0,"Beyerdynamic DT1990 Pro
(Balanced pads)",$600,Warm V-shape,"An intense sound given its significant treble boost, but countered by a smooth lower-midrange bump.",B-,B,Dynamic,Open Circumaural
B-,0,Audeze LCD-GX,$900,Warm neutral,"As a gaming headphone, possibly the best technically though with the usual pitfalls of the Audeze house sound.",C,A,Planar,Open Circumaural
B-,0,Audeze LCD-2 Closed-back,$900,Warm V-shape,"Not the worst Audeze in terms of tonality, but its tuning still doesn't live up to its technical capabilities.",C,A,Planar,Closed Circumaural
B-,0,Audeze LCD-2 Classic,$800,Warm,Classic Audeze combo of solid resolution with a confusing lack of upper midrange.,C,A,Planar,Open Circumaural
B-,0,Apple AirPods Max,$550,U-shaped,"Great tonality, sub-focused bass emphasis, bassy without being muddy. Average imaging and resolution.",B+,C+,Dynamic,Closed Circumaural
B-,0,"ZMF Verite
(Pref. lambskin Verite pads)","$2,500",Warm,Excellent resolution unfortunately marred by suppressed harmonics and a harsh upper-midrange.,C-,S-,Dynamic,Open Circumaural
B-,0,ES Lab ES-1a,"$2,050",Bright neutral,"Seems inspired by the tuning of the SR-009 with some minor improvements, though not enough to call it ""good"".",C-,S-,Electrostatic,Open Circumaural
B-,0,Fostex TR80,"220
(TR80)",Neutral with bass boost,"A very well-tuned monitor-style headphone, if heavily bottlenecked by narrow imaging and blunt hits.",A+,C-,Dynamic,Open Circumaural
B+,3,AKG K612 Pro,$200,Neutral,"Basically dead-neutral tuning, emphasis on ""dead"". Strong all-rounder whose only fault is not having that ""wow-factor"".",S-,B,Dynamic,Open Circumaural
B+,3,Sennheiser HD650/HD6XX,"220
(HD6XX)",Warm neutral,"The legendary neutral reference. ""Veiled"" with a warm tilt (in comparison to HD600), and pretty terrible at imaging.",A+,B,Dynamic,Open Circumaural
B+,3,Shure SRH840,$150,V-shaped,Extremely well-executed V-shaped tuning with no erronous peaks or dips. More mid-bassy than sub-bassy.,A+,B-,Dynamic,Closed Circumaural
B+,2,Hifiman Sundara,$350,Neutral,Solid tuning with a little treble spiciness for the daring. One of the better midrange planars out there.,A+,B,Planar,Open Circumaural
B+,2,Moondrop Para,$300,Neutral,,A+,B,Planar,Open Circumaural
B+,2,AKG K702,$350,Mid-centric,Slightly more upper-mid-forward (read: shoutier) version of the K612.,A,B,Dynamic,Open Circumaural
B+,1,Hifiman Ananda,$700,Neutral,"One of the best tuned headphones available, only limited by its raw resolving ability.",S-,B,Planar,Open Circumaural
B+,1,Fostex TH610,$600,Mild V-shape,The most neutral of the Foster biodyna models. If you want a little more balance than the Teaks.,B+,A-,Dynamic,Closed Circumaural
B+,1,E-MU Teak,$400,V-shaped,"Excellent dynamics with one of the best bass I've heard in a headphone, though the midrange can be a little harsh.",B+,A-,Dynamic,Semi-open Circumaural
B+,1,Shure SRH1540,$500,Neutral with bass boost,"Almost ""Harman"" tuning with some undesirable mid-bass bloat.",A,B,Dynamic,Closed Circumaural
B+,0,"Stax SR-404
Stax SR-404 Limited","500
(SR-404)",Neutral,Similar tuning to that of the Lambda Pro. Sonically identical between 404 and 404LE.,B,S-,Electrostatic,Open Circumaural
B+,0,Stax SR-507,"830
(SR-507)",Neutral,Similar tuning to that of the Lambda Pro.,B,S-,Electrostatic,Open Circumaural
B+,0,Hifiman HE6,"1300
(HE6)",Bright neutral,"Clean, resolving yet intense sound scratches the detail itch but is a little too edgy for long listens.",B,S-,Planar,Open Circumaural
B+,0,Stax SR-4070,"1700
(SR-4070)",Mid-centric,Surprisingly wide and spacious soundstage for a closed-back. Good low-end extension but rather shouty.,B,S-,Electrostatic,Closed Circumaural
B+,0,"ZMF Auteur
(Teak)
(pref. lambskin Auteur pads)","$1,600",Bright neutral,Very pleasant tonality but lacking that last bit of definition for true top-tier status.,A,B+,Dynamic,Open Circumaural
B+,0,Sennheiser HD800/HD800S,"1700
(HD800S)",Bright neutral,"Arguably the king of soundstage and raw detail, though at the cost of its infamous treble spike.",B-,S,Dynamic,Open Circumaural
B+,0,Beyerdynamic T70,"600
(T70)",Bright neutral,"Treble peak may offend some, but otherwise very well balanced and natural tonality with decent technicalities.",A,B,Dynamic,Closed Circumaural
B+,0,MrSpeakers Ether C,"Discontinued
1500
(Replaced by Ether C Flow)",DF-neutral,"Forward, in-your-face sound that's shouty and thin at the same time. A good reference for ""true DF neutral"".",A,B,Planar,Closed Circumaural
B+,0,Stax SR-L500,"792+975
(SRM-353X)",Neutral,Generally pleasing tuning with a little honkiness in the centre-midrange.,B-,S-,Electrostatic,Open Circumaural
C+,1,Sennheiser HD599,$200,V-shaped,"A little too sharp, a little too midbassy, but overall not the most offensive headphone out there.",B,C+,Dynamic,Open Circumaural
C+,1,Massdrop x AKG K7XX,$200,Warm,A more bloated-sounding K712.,C+,B,Dynamic,Open Circumaural
C+,1,HarmonicDyne Helios,$180,V-shaped,Lack of bass extension is its biggest dealbreaker of what would be an otherwise solid headphone.,B,C+,Dynamic,Open Circumaural
C+,1,1MORE MK801,$80,Neutral with bass boost,"Smooth, generally pleasing tonality throughout with no offensive characteristics.",A-,C-,Dynamic,Closed Circumaural
C+,1,Sennheiser HD579,$200,Warm neutral,More or less a HD599 with slightly worse resolution.,B,C,Dynamic,Open Circumaural
C+,0,Acoustic Research AR-H1,"600
(AR-H1)",Neutral,"A tempered, almost bright-leaning planar (but not quite). Decent tonality and technical ability.",C+,B,Dynamic,Open Circumaural
C+,0,Beyerdynamic T5p (1st Gen),"750
(T5P)",V-shaped,"Choppy midrange response is its biggest turnoff, but otherwise a decent V-shaped headphone.",C+,B,Dynamic,Closed Circumaural
C+,0,Timsok TS-1024,"$2,000",Warm V-shape,Somewhat warm midrange plagued with sharp and offensive treble.,C+,B,Planar,Open Circumaural
C+,0,Sendy Aiva,$600,Warm neutral,"A slightly worse-tuned B20, kinda.",B,C+,Planar,Open Circumaural
C+,0,AKG K712 Pro,$500,Warm,Sizeable mid-bass bloat that's barely reigned in by an equally sizeable upper-midrange emphasis.,C+,B,Dynamic,Open Circumaural
C+,0,Fostex TH7,"80
(TH7)",Neutral,Fairly neutral monitor-style headphone with poor imaging and detail retrieval.,B+,C,Dynamic,Closed Circumaural
C+,0,Sony MDR-Z1R,"$1,800",V-shaped,Holes in the midrange. Big spike in the treble. Strangely disjointed soundstage. Decently resolving.,C,B+,Dynamic,Closed Circumaural
C+,0,Fostex TH900,"$1,600",V-shaped,Spicy sibilance and bloated bass are disappointments in what is otherwise an extremely dynamic headphone.,C-,A,Dynamic,Closed Circumaural
C+,0,DCA Aeon 2 Closed,$900,U-shaped,Passable tonality with dulled and blunted transients make for lacklustre detailing.,B+,C,Planar,Closed Circumaural
C+,0,Stax SR-009/SR-009S,"4325+975
(SRM-353X)",Bright neutral,"Detail and resolution worthy of being called ""the best"", marred by the tonally-off midrange.",D+,S+,Electrostatic,Open Circumaural
C+,0,Audeze LCD-4,"4000+3000
(GS-X mk2)",Warm,A classic example of a highly resolving yet wonky sounding headphone. Needs more upper midrange.,D+,S,Planar,Open Circumaural
C+,0,Sony MDR-MA900,"200
(MDR-MA900)",Bass-rolled neutral,Imaging as expected of an earspeaker configuration; surprisingly good tonality and expected bad extension.,C+,B-,Dynamic,Earspeaker
C+,0,Fostex TH909,"$1,800",V-shaped,A slightly more balanced TH900 with similar sibilance issues.,C-,A-,Dynamic,Open Circumaural
C+,0,Neumann NDH 20,$500,Neutral with bass boost,Feels like an attempt at Harman but ultimately missing the mark in the midrange tuning.,C+,B-,Dynamic,Closed Circumaural
C+,0,Rosson RAD-0,"$2,600",Warm neutral,Middling technicalities with suppressed upper midrange.,C,B,Planar,Open Circumaural
C+,0,Sony MDR-1AM2,$300,Warm U-shape,Harman-ish tuning with a strong mid-bass presence and piercing upper treble response.,B,C,Dynamic,Closed Circumaural
C+,0,"Abyss AB-1266 Phi CC
Abyss AB-1266 Phi",Replaced with TC,"""Balanced""","Sinfully addictive bass and treble reponse, but the midrange tonality needs a lot of work.",D+,A+,Planar,Open Circumaural
C+,0,Audeze LCD-MX4,"$3,000",Warm,Classic Audeze combo of solid resolution with a confusing lack of upper midrange.,D+,A+,Planar,Open Circumaural
C+,0,Hifiman HE5SE,$700,V-shaped,"Strong contender for an excellent headphone, if not for the inexplicable hole in the mids.",D+,A,Planar,Open Circumaural
C+,0,Sony MDR-CD380,"50
(MDR-CD380)",DF-neutral,"Shouty and thin-sounding, though surprisingly competent imaging ability.",C+,C+,Dynamic,Closed Circumaural
S,1,Hifiman Susvara,"$6,000",Neutral,Subtle refinements to the already-great HE1000 makes this arguably the best planar in the world.,S,S,Planar,Open Circumaural
S,0,Sennheiser HE-1,"$59,000",Harman neutral,"Mostly neutral, slight bass lift, highly resolving and natural both in tone and timbre. The world's best headphone.",S+,S,Electrostatic,Open Circumaural
S-,1,Focal Utopia,"$4,000",Neutral,Solid tuning with close to top-tier resolution. An inoffensive all-rounder that lives up to its reputation.,S,S-,Dynamic,Open Circumaural
S-,0,"Hifiman HE1000
(V2)","3000
(HE1000)",Neutral,"A planar that comes unnervingly close estat speed, but not quite. Solid technicalities with excellent tone.",S,S-,Planar,Open Circumaural
