CrinRank,CrinValue,Model,CrinSignature,CrinComments,CrinTone,CrinTech,CrinDriver,CrinFit
B-,1,Sennheiser HD25 Plus,U-shaped,"Punchy, energetic sound with decently balanced tonality. A pretty good beat-tracking monitor.",B,B-,Dynamic,Closed Supra-aural
B-,1,BLON B20,Warm neutral,"Basically a darker planar HD6X0, with equally closed-in staging and lacking the final resolving edge.",A,C,Planar,Open Circumaural
B-,1,Massdrop x Koss ESP/95X,Mid-centric,"Good resolving ability and imaging, marred by its odd and honky midrange.",C,A,Electrostatic,Open Circumaural
B-,1,ASTRO A40 TR,Warm V-shape,"Middling technicalities, but for a gaming headphone its tonality is surprisingly balanced.",B+,C+,Dynamic,Closed Circumaural
B-,1,Audio Technica ATH-M40x,Neutral with bass boost,Well-balanced tonality with disappointing detailing and claustrophobic imaging.,A-,C,Dynamic,Closed Circumaural
B-,1,Moondrop Void,Warm neutral,"Slightly midbass/lower-mid emphasised with good tonal balance, if rather ""cheap""-sounding.",A-,C,Dynamic,Open Circumaural
B-,1,E-MU Walnut,"""Balanced""","Tonality is somewhat off with peaks and dips here and there, but overall not a bad sounding headphone.",B-,B-,Dynamic,Closed Circumaural
B-,0,"Hifiman HE500
(w/ FocusPad-A)",Warm neutral,Perhaps the warmest of the Hifiman lineup. Not the most resolving.,B+,B-,Planar,Open Circumaural
B-,0,Audeze LCD-24,Warm neutral,"A slight tonal improvement over the LCD-4, but also comes with a slight hit in resolution.",C,S-,Planar,Open Circumaural
B-,0,"Abyss Diana Phi
Abyss Diana V2",Warm,Needs a little more upper midrange to balance out the honkiness. Good dynamic performance especially in the bass.,C,A+,Planar,Open Circumaural
B-,0,Audeze LCD-X (2021),Warm neutral,"Tonally, a massive improvement over the previous version(s) though with the usual pitfalls of the Audeze house sound.",C,A+,Planar,Open Circumaural
B-,0,Denon AH-D5200,Warm neutral,Probably the least wonky of the new Denons. Suffers from some mid-bass bloat.,B-,B,Dynamic,Closed Circumaural
B-,0,"Beyerdynamic DT1990 Pro
(Balanced pads)",Warm V-shape,"An intense sound given its significant treble boost, but countered by a smooth lower-midrange bump.",B-,B,Dynamic,Open Circumaural
B-,0,Audeze LCD-GX,Warm neutral,"As a gaming headphone, possibly the best technically though with the usual pitfalls of the Audeze house sound.",C,A,Planar,Open Circumaural
B-,0,Audeze LCD-2 Closed-back,Warm V-shape,"Not the worst Audeze in terms of tonality, but its tuning still doesn't live up to its technical capabilities.",C,A,Planar,Closed Circumaural
B-,0,Audeze LCD-2 Classic,Warm,Classic Audeze combo of solid resolution with a confusing lack of upper midrange.,C,A,Planar,Open Circumaural
B-,0,Apple AirPods Max,U-shaped,"Great tonality, sub-focused bass emphasis, bassy without being muddy. Average imaging and resolution.",B+,C+,Dynamic,Closed Circumaural
B-,0,"ZMF Verite
(Pref. lambskin Verite pads)",Warm,Excellent resolution unfortunately marred by suppressed harmonics and a harsh upper-midrange.,C-,S-,Dynamic,Open Circumaural
B-,0,ES Lab ES-1a,Bright neutral,"Seems inspired by the tuning of the SR-009 with some minor improvements, though not enough to call it ""good"".",C-,S-,Electrostatic,Open Circumaural
B-,0,Fostex TR80,Neutral with bass boost,"A very well-tuned monitor-style headphone, if heavily bottlenecked by narrow imaging and blunt hits.",A+,C-,Dynamic,Open Circumaural
B+,3,AKG K612 Pro,Neutral,"Basically dead-neutral tuning, emphasis on ""dead"". Strong all-rounder whose only fault is not having that ""wow-factor"".",S-,B,Dynamic,Open Circumaural
B+,3,Sennheiser HD650/HD6XX,Warm neutral,"The legendary neutral reference. ""Veiled"" with a warm tilt (in comparison to HD600), and pretty terrible at imaging.",A+,B,Dynamic,Open Circumaural
B+,3,Shure SRH840,V-shaped,Extremely well-executed V-shaped tuning with no erronous peaks or dips. More mid-bassy than sub-bassy.,A+,B-,Dynamic,Closed Circumaural
B+,2,Hifiman Sundara,Neutral,Solid tuning with a little treble spiciness for the daring. One of the better midrange planars out there.,A+,B,Planar,Open Circumaural
B+,2,Moondrop Para,Neutral,,A+,B,Planar,Open Circumaural
B+,2,AKG K702,Mid-centric,Slightly more upper-mid-forward (read: shoutier) version of the K612.,A,B,Dynamic,Open Circumaural
B+,1,Hifiman Ananda,Neutral,"One of the best tuned headphones available, only limited by its raw resolving ability.",S-,B,Planar,Open Circumaural
B+,1,Fostex TH610,Mild V-shape,The most neutral of the Foster biodyna models. If you want a little more balance than the Teaks.,B+,A-,Dynamic,Closed Circumaural
B+,1,E-MU Teak,V-shaped,"Excellent dynamics with one of the best bass I've heard in a headphone, though the midrange can be a little harsh.",B+,A-,Dynamic,Semi-open Circumaural
B+,1,Shure SRH1540,Neutral with bass boost,"Almost ""Harman"" tuning with some undesirable mid-bass bloat.",A,B,Dynamic,Closed Circumaural
B+,0,"Stax SR-404
Stax SR-404 Limited",Neutral,Similar tuning to that of the Lambda Pro. Sonically identical between 404 and 404LE.,B,S-,Electrostatic,Open Circumaural
B+,0,Stax SR-507,Neutral,Similar tuning to that of the Lambda Pro.,B,S-,Electrostatic,Open Circumaural
B+,0,Hifiman HE6,Bright neutral,"Clean, resolving yet intense sound scratches the detail itch but is a little too edgy for long listens.",B,S-,Planar,Open Circumaural
B+,0,Stax SR-4070,Mid-centric,Surprisingly wide and spacious soundstage for a closed-back. Good low-end extension but rather shouty.,B,S-,Electrostatic,Closed Circumaural
B+,0,"ZMF Auteur
(Teak)
(pref. lambskin Auteur pads)",Bright neutral,Very pleasant tonality but lacking that last bit of definition for true top-tier status.,A,B+,Dynamic,Open Circumaural
B+,0,Sennheiser HD800/HD800S,Bright neutral,"Arguably the king of soundstage and raw detail, though at the cost of its infamous treble spike.",B-,S,Dynamic,Open Circumaural
B+,0,Beyerdynamic T70,Bright neutral,"Treble peak may offend some, but otherwise very well balanced and natural tonality with decent technicalities.",A,B,Dynamic,Closed Circumaural
B+,0,MrSpeakers Ether C,DF-neutral,"Forward, in-your-face sound that's shouty and thin at the same time. A good reference for ""true DF neutral"".",A,B,Planar,Closed Circumaural
B+,0,Stax SR-L500,Neutral,Generally pleasing tuning with a little honkiness in the centre-midrange.,B-,S-,Electrostatic,Open Circumaural
C+,1,Sennheiser HD599,V-shaped,"A little too sharp, a little too midbassy, but overall not the most offensive headphone out there.",B,C+,Dynamic,Open Circumaural
C+,1,Massdrop x AKG K7XX,Warm,A more bloated-sounding K712.,C+,B,Dynamic,Open Circumaural
C+,1,HarmonicDyne Helios,V-shaped,Lack of bass extension is its biggest dealbreaker of what would be an otherwise solid headphone.,B,C+,Dynamic,Open Circumaural
C+,1,1MORE MK801,Neutral with bass boost,"Smooth, generally pleasing tonality throughout with no offensive characteristics.",A-,C-,Dynamic,Closed Circumaural
C+,1,Sennheiser HD579,Warm neutral,More or less a HD599 with slightly worse resolution.,B,C,Dynamic,Open Circumaural
C+,0,Acoustic Research AR-H1,Neutral,"A tempered, almost bright-leaning planar (but not quite). Decent tonality and technical ability.",C+,B,Dynamic,Open Circumaural
C+,0,Beyerdynamic T5p (1st Gen),V-shaped,"Choppy midrange response is its biggest turnoff, but otherwise a decent V-shaped headphone.",C+,B,Dynamic,Closed Circumaural
C+,0,Timsok TS-1024,Warm V-shape,Somewhat warm midrange plagued with sharp and offensive treble.,C+,B,Planar,Open Circumaural
C+,0,Sendy Aiva,Warm neutral,"A slightly worse-tuned B20, kinda.",B,C+,Planar,Open Circumaural
C+,0,AKG K712 Pro,Warm,Sizeable mid-bass bloat that's barely reigned in by an equally sizeable upper-midrange emphasis.,C+,B,Dynamic,Open Circumaural
C+,0,Fostex TH7,Neutral,Fairly neutral monitor-style headphone with poor imaging and detail retrieval.,B+,C,Dynamic,Closed Circumaural
C+,0,Sony MDR-Z1R,V-shaped,Holes in the midrange. Big spike in the treble. Strangely disjointed soundstage. Decently resolving.,C,B+,Dynamic,Closed Circumaural
C+,0,Fostex TH900,V-shaped,Spicy sibilance and bloated bass are disappointments in what is otherwise an extremely dynamic headphone.,C-,A,Dynamic,Closed Circumaural
C+,0,DCA Aeon 2 Closed,U-shaped,Passable tonality with dulled and blunted transients make for lacklustre detailing.,B+,C,Planar,Closed Circumaural
C+,0,Stax SR-009/SR-009S,Bright neutral,"Detail and resolution worthy of being called ""the best"", marred by the tonally-off midrange.",D+,S+,Electrostatic,Open Circumaural
C+,0,Audeze LCD-4,Warm,A classic example of a highly resolving yet wonky sounding headphone. Needs more upper midrange.,D+,S,Planar,Open Circumaural
C+,0,Sony MDR-MA900,Bass-rolled neutral,Imaging as expected of an earspeaker configuration; surprisingly good tonality and expected bad extension.,C+,B-,Dynamic,Earspeaker
C+,0,Fostex TH909,V-shaped,A slightly more balanced TH900 with similar sibilance issues.,C-,A-,Dynamic,Open Circumaural
C+,0,Neumann NDH 20,Neutral with bass boost,Feels like an attempt at Harman but ultimately missing the mark in the midrange tuning.,C+,B-,Dynamic,Closed Circumaural
C+,0,Rosson RAD-0,Warm neutral,Middling technicalities with suppressed upper midrange.,C,B,Planar,Open Circumaural
C+,0,Sony MDR-1AM2,Warm U-shape,Harman-ish tuning with a strong mid-bass presence and piercing upper treble response.,B,C,Dynamic,Closed Circumaural
C+,0,"Abyss AB-1266 Phi CC
Abyss AB-1266 Phi","""Balanced""","Sinfully addictive bass and treble reponse, but the midrange tonality needs a lot of work.",D+,A+,Planar,Open Circumaural
C+,0,Audeze LCD-MX4,Warm,Classic Audeze combo of solid resolution with a confusing lack of upper midrange.,D+,A+,Planar,Open Circumaural
C+,0,Hifiman HE5SE,V-shaped,"Strong contender for an excellent headphone, if not for the inexplicable hole in the mids.",D+,A,Planar,Open Circumaural
C+,0,Sony MDR-CD380,DF-neutral,"Shouty and thin-sounding, though surprisingly competent imaging ability.",C+,C+,Dynamic,Closed Circumaural
S,1,Hifiman Susvara,Neutral,Subtle refinements to the already-great HE1000 makes this arguably the best planar in the world.,S,S,Planar,Open Circumaural
S,0,Sennheiser HE-1,Harman neutral,"Mostly neutral, slight bass lift, highly resolving and natural both in tone and timbre. The world's best headphone.",S+,S,Electrostatic,Open Circumaural
S-,1,Focal Utopia,Neutral,Solid tuning with close to top-tier resolution. An inoffensive all-rounder that lives up to its reputation.,S,S-,Dynamic,Open Circumaural
S-,0,"Hifiman HE1000
(V2)",Neutral,"A planar that comes unnervingly close estat speed, but not quite. Solid technicalities with excellent tone.",S,S-,Planar,Open Circumaural
