Rank,Value Rating,Model,MSRP,Signature,Comments,Tone Grade,Technical Grade,Driver Type
B,0,"Sony Justear XJE-MH2 ""Club""",2150,Warm V-shape,"Nice, pleasant signature that is reminiscent of a more textured HS1551.",B,B,1BA 1DD
B,0,Ultimate Ears UE18+ Pro Gen 2,Discont.,Warm neutral,Somewhat reference tuning with emphasis on tonal accuracy and naturalness,B,B,6BA
B,0,Kumitate KL-REF Type S,Discont.,Variable,Triggers uncanny valley hard. Presentation is always slighty off in some area that I can't pinpoint.,B,B,3BA 2DD
B-,3,HZSound Heart Mirror Pro,80,Mild V-shape,,B+,B-,DD
B-,3,Intime Sora,45,U-shaped,Well controlled bass boost with slightly skewed tonality. Potential is there.,A-,C+,DD
B-,3,Tanchjim Cora,50,V-shaped,"Well-controlled bass boost, though coupled with a slightly odd midrange tonality.",B+,C+,DD
B-,2,Moondrop Sparks,90,Neutral,"A tad too shouty and lacking low-level detail, but nothing too egregious as a whole.",A-,C+,DD
B-,2,Tin HiFi T4,110,Bright neutral,A worthy successor to the legendary GR07.,B,B-,DD
B-,2,Tin HiFi T3 Plus,70,V-shaped,,B+,C+,DD
B-,2,TRI Starsea,130,U-shaped,,B-,B-,2BA 1DD
B-,1,Acoustune HS1300,350,V-shaped,"A less warm, slightly brighter version of the coveted HS1551.",B-,B+,DD
B-,1,Sony WF-1000XM3,230,Neutral with bass boost,"Proper tonality, solid technicalities yet with a consumer-friendly signature.",B+,B-,DD
B-,1,Sony MDR-EX800ST/MDR7550,350,Bright neutral,"A more forgiving, warmer version of the EX1000.",C+,A-,DD
B-,1,Fatfreq Musician Plus V2,230,Neutral with bass boost,,A-,C+,2BA
B-,1,Audio Lokahi,240,Neutral with bass boost,,A-,C+,7BA
B-,1,JVC HA-FW03,250,Bright V-shape,Slightly shouty but balanced out by a warm mid-bass hump. Lacking overall definition.,A-,C+,DD
B-,1,FiiO FD5,350,V-shaped,Pretty standard V-shaped tuning though surprisingly proficient in technicalities.,B-,B,DD
B-,1,qdc Neptune,200,Warm neutral,Tuning and configuration is simple but goes a long way when implemented well.,B,B-,BA
B-,1,Apple AirPods Pro,250,Neutral,Somewhat Diffuse-Field tuning with a smooth and natural midrange tonality.,B,B-,DD
B-,1,Veedix Diamond String,260,V-shaped,,B,B-,4BA 1DD
B-,1,JBL LIVE 300TWS,150,V-shaped,"Kind of Harman-ish, but not. Heavy on the bass and sharp in the treble.",B+,C+,DD
B-,1,Bose SoundSport Free,200,Neutral,"Solid tonal balance with wide soundstage, though not the best in detailing.",B+,C+,DD
B-,1,Audiosense AQ3,180,Bassy,"Well-controlled bass despite the emphasis, limited by overall resolving ability.",B+,C+,2BA 1DD
B-,1,Nothing Ear (2),150,Neutral with bass boost,,A-,C,DD
B-,1,ikko OH1,140,V-shaped,"Well controlled sub-bass focus, high clarity and has an inherent ""Asian"" signature.",B-,B-,1BA 1DD
B-,1,Shanling ME200,180,V-shaped,"Slight mid-scoop going on. A little shouty, a little bassy, but not bad overall.",B-,B-,1BA 1DD
B-,1,Fearless S4,290,V-shaped,Tonally accurate though can be a little heavy with its upper midrange.,B-,B-,4BA
B-,1,Oriveti OH300,300,V-shaped,More similar than different to the OH500. Non-offensive tuning with decent technicalities.,B-,B-,2BA 1DD
B-,1,Aune Jasper,300,Mild V-shape,A little shouty but overall a well-balanced tonality that's more pleasing than divisive.,B-,B-,DD
B-,1,BGVP DM7,300,Warm neutral,Much more tonally-balanced take on the popular DM6.,B-,B-,6BA
B-,1,Itsfit R3,305,Neutral,"Similar to the lauded UERM, but without its resolution nor sparkle.",B-,B-,3BA
B-,0,DUNU DK-4001,900,U-shaped,A little shrill with slight cutbacks in tone compared to the DK-3001 Pro.,B-,B+,4BA 1DD
B-,0,AAW AXH (2019),430,Bright neutral,Sharp treble though not to the point of being piercing. Decent rendition of the bright-neutral signature.,B-,B+,4BA 1DD
B-,0,Unique Melody MacBeth,600,U-shaped,Extremely clear but may be too thin for some.,B-,B+,1BA 1DD
B-,0,Elysian Artemis V2,700,Neutral,"A detailed, somewhat neutral-sounding IEM that should fit most people's tastes.",B-,B+,3BA
B-,0,Acoustune HS1655Cu,750,V-shaped,Deep V-shape signature with some odd treble spikes; very Acoustune.,B-,B+,DD
B-,0,Acoustune HS1657,750,V-shaped,Deep V-shape signature with some odd treble spikes; very Acoustune.,B-,B+,DD
B-,0,Acoustune HS1677,900,V-shaped,Deep V-shape signature with some odd treble spikes; very Acoustune.,B-,B+,DD
B-,0,Beyerdynamic Xelento,1000,V-shaped,"Like the T8iE, with a little more treble and upper mids.",B-,B+,DD
B-,0,Chikyu-Sekai 16/Cosmos,1100,Warm neutral,,B-,B+,16BA
B-,0,FAudio Mezzo,1900,Variable,,B-,B+,1Piezo 2BA 1DD
B-,0,Shanling ME700 Lite,500,Neutral,Rather radical change from the original ME700; far less warm with more upper-mid emphasis.,B+,B-,4BA 1DD
B-,0,Kinera Nanna,900,Mild V-shape,Surprisingly well-extended for an EST implementation; somewhat blunted notes overall.,B+,B-,2EST 1BA 1DD
B-,0,Lime Ears Aether,1350,Neutral with bass boost,Excellent clarity and tone but marred slightly by slightly lackluster resolution,B+,B-,5BA
B-,0,Craft Ears Aurum,1500,Neutral with bass boost,,B+,B-,2EST 4BA 1DD
B-,0,Sony MH755,Discont.,U-shaped,"Clean notes, proper sub-bass extension and a tonal balance beyond expectations.",B+,B-,DD
B-,0,Sony MDR-AS800AP,Discont.,Neutral with bass boost,Extremely well-balanced tuning but with unfortunately middling technicalities.,S-,C,DD
B-,0,Dita Fidelity,1300,V-shaped,The more technical and less natural sounding of the Dita twins.,C+,A-,DD
B-,0,Vision Ears EVE 20,1550,V-shaped,Solid technicalities in tandem with an uninspired tuning.,C+,A-,6BA
B-,0,Empire Ears Valkyrie,1600,V-shaped,Lots of sub-bass with extremely thin mids. Adequate technicalities.,C+,A-,1EST 1BA 1DD
B-,0,Empire Ears Valkyrie Mk2,1600,V-shaped,Not too dissimilar to its predecessor.,C+,A-,1EST 1BA 1DD
B-,0,Tripowin Lea,Discont.,Mild V-shape,,A-,C+,DD
B-,0,Nostalgia Benbulbin,900,Neutral with bass boost,,A-,C+,4BA 1DD
B-,0,DUNU Titan 3,Discont.,Bright neutral,"A more reined-in variant of the Titan 3's sound, more peaky but also slightly more resolving.",B-,B,DD
B-,0,Shozy & Neo BG,Discont.,Bright neutral,"Well balanced tuning with decent resolution, though suffers from slight timbral issues.",B-,B,5BA
B-,0,DUNU DK-2001,Discont.,V-shaped,Slightly warm-tilted with a bit of treble spiciness.,B-,B,3BA 1DD
B-,0,TRI Starshine,500,Bright V-shape,"A good example of ""too much of a good thing"": treble extension. Sibilance issues abound, but otherwise fine.",B-,B,2EST 2BA
B-,0,Gaudio Clariden,862,V-shaped,"Somewhat reminiscent of a more mid-y Andromeda, though with extra wonkiness.",B-,B,3BA
B-,0,Fearless S6Rui,390,V-shaped,Similar to the S4/S5H though with smoother upper mids and treble response.,B-,B,6BA
B-,0,Sony XBA-A3,480,Warm neutral,Coherent hybrid with a warm-ish tilt to its tone.,B-,B,2BA 1DD
B-,0,ThieAudio Legacy 9 (L9),550,Bassy,Bass a little too slow and sluggish with minor quirks in the midrange-treble transition.,B-,B,8BA 1DD
B-,0,NocturnaL Atlantis,600,Neutral,Reference signature with immense clarity and energy.,B-,B,4BA
B-,0,Sony XBA-Z5,700,"""Balanced""",All-rounder. Somewhat neutral both in FR and tonality.,B-,B,2BA 1DD
B-,0,PEARS SH2,860,Neutral,An odd take on neutrality but not the worst.,B-,B,2BA
B-,0,"Fidue A91 ""Sirius""",900,Warm V-shape,Uniquely tuned hybrid. Not very powerful DD bass with Diffuse-Field midrange.,B-,B,4BA 1DD
B-,0,Unique Melody Miracle V2,1050,Mild V-shape,Slight downsloping signature with a treble spike for sparkle.,B-,B,6BA
B-,0,Soranik Ion,1100,Warm,"Clearly inspired by the 334, follows the same strengths in female vocals",B-,B,5BA
B-,0,Noble Tux 5,1300,U-shaped,"Deep, sub-bass focus with potentially sibilant treble. Scooped midrange.",B-,B,4BA 1DD
B-,0,Sony XBA-H3,Discont.,Warm neutral,Coherent hybrid with a warm-ish tilt to its tone. Similar to the XBA-A3.,B-,B,2BA 1DD
B-,0,ThieAudio Legacy 5 (L5),Discont.,Warm neutral,A little lacking in the upper-mids but otherwise a competent set.,B,B-,4BA 1DD
B-,0,Fatfreq Reference Pro,370,Neutral,,B,B-,3BA
B-,0,Anthem Five E4,400,Neutral with bass boost,"The all-rounder; nothing stands out but nothing sounds terrible either. Safe, but perhaps too safe.",B,B-,4BA
B-,0,ARC Mira,410,Neutral,A well-tuned basic setup with strengths in versatility.,B,B-,2BA
B-,0,Final Audio B3,500,Warm neutral,Probably the best tuned of Final's B-series. Reminiscent of the E-series with BA characteristics.,B,B-,2BA
B-,0,Craft Ears Argentum,850,V-shaped,,B,B-,2BA 1DD
B-,0,Vision Ears VE3.2,1200,Warm neutral,"Almost VE8-like in tonality, but lacks its technical abilities.",B,B-,3BA
B-,0,HUM Reference,1300,Neutral,Basically sounds like a shallow-fit ER4S.,B,B-,BA
B-,0,Westone ES60,1300,Neutral with laid-back treble,"Great timbre and well-tuned, held back by its resolution",B,B-,6BA
B-,0,Custom Art FIBAE 7,1450,Neutral,Neutral tuning with a more relaxed top end. Probably the best-tuned Custom Art.,B,B-,7BA
B-,0,qdc Dmagic,1900,Neutral,Probably the best triple-DD IEM out there by virtue of not being a hot mess tonally.,B,B-,3DD
B-,0,Aure Flame,2000,Mild V-shape,A little better managed than the Elixir but not a massive improvement. Reminds me of a budget FH5.,B,B-,?
B-,0,Acoustune HS1551,500,Warm V-shape,Warm and smooth tonality with a pleasing tuning not many would hate.,C+,B+,DD
B-,0,Empire Ears EVR,800,Neutral,A nicely tuned flat-ish signature with good technical ability all around.,C+,B+,3BA
B-,0,Sennheiser IE800,800,Warm,Good bass with shimmery treble. Downsloping response with slightly wonky tonality.,C+,B+,DD
